team,n_picks,total_actual_av,total_expected_av,total_delta,avg_delta,hit_rate,pro_bowlers,all_pros,best_pick_player,best_pick_round,best_pick_av_delta,worst_pick_player,worst_pick_round,worst_pick_av_delta,grade,rank
NOR,76,1636.0,1004.9,631.1,8.3,0.513,45,7,Cameron Jordan,1,87.7,Payton Turner,1,-16.9,A+,1
KAN,96,1926.0,1243.3,682.7,7.11,0.479,63,23,Tyreek Hill,5,88.9,Eric Fisher,1,-24.0,A+,2
DAL,107,1997.0,1297.4,699.6,6.54,0.467,68,20,Dak Prescott,4,94.0,Kelvin Joseph,2,-14.3,A,3
SEA,117,2055.0,1344.2,710.8,6.07,0.419,49,15,Russell Wilson,3,127.1,Marquise Blair,2,-13.8,A,4
BAL,118,2110.0,1422.1,687.9,5.83,0.483,58,14,Lamar Jackson,1,91.3,Sergio Kindle,2,-16.5,A-,5
GNB,118,1955.0,1348.3,606.7,5.14,0.441,26,6,Davante Adams,2,77.0,Derek Sherrod,1,-15.7,A-,6
BUF,100,1795.0,1302.4,492.6,4.93,0.46,29,5,Josh Allen,1,74.4,EJ Manuel,1,-15.4,B+,7
PHI,104,1826.0,1322.2,503.8,4.84,0.452,38,10,Jason Kelce,6,93.5,Marcus Smith,1,-16.5,B+,8
PIT,105,1723.0,1218.9,504.1,4.8,0.381,52,18,Cameron Heyward,1,96.0,Senquez Golson,2,-14.7,B+,9
NWE,115,1829.0,1326.6,502.4,4.37,0.409,20,12,Joe Thuney,3,71.3,Ras-I Dowling,2,-17.5,B+,10
MIA,98,1684.0,1323.6,360.4,3.68,0.449,33,5,Ryan Tannehill,1,56.5,Dion Jordan,1,-44.1,B,11
SDG,90,1504.0,1205.2,298.8,3.32,0.489,29,2,Keenan Allen,3,67.2,Jonas Mouton,2,-14.1,B,12
TAM,94,1644.0,1337.6,306.4,3.26,0.447,30,6,Lavonte David,2,78.6,Jameis Winston,1,-23.0,B,13
DEN,108,1708.0,1360.3,347.7,3.22,0.417,32,8,Justin Simmons,3,48.5,Paxton Lynch,1,-18.5,B-,14
CHI,87,1374.0,1120.6,253.4,2.91,0.437,19,6,Roquan Smith,1,49.5,Kevin White,1,-33.6,B-,15
DET,101,1720.0,1426.0,294.0,2.91,0.396,45,12,Darius Slay,2,48.2,Jeff Okudah,1,-42.1,B-,16
CAR,92,1514.0,1247.3,266.7,2.9,0.402,30,10,Luke Kuechly,1,58.3,Ikem Ekwonu,1,-14.1,B-,17
ATL,91,1448.0,1199.1,248.9,2.73,0.396,24,4,Julio Jones,1,61.9,Kyle Pitts,1,-18.8,B-,18
HOU,98,1563.0,1297.4,265.6,2.71,0.418,26,10,J.J. Watt,1,80.0,Jadeveon Clowney,1,-23.0,B-,19
IND,104,1572.0,1291.8,280.2,2.69,0.413,27,7,T.Y. Hilton,3,60.2,Andrew Luck,1,-14.0,B-,20
CIN,116,1790.0,1510.6,279.4,2.41,0.336,37,4,Geno Atkins,4,78.5,John Ross,1,-25.7,B-,21
STL,115,1756.0,1487.6,268.4,2.33,0.391,29,14,Aaron Donald,1,95.2,Sam Bradford,1,-42.0,B-,22
WAS,113,1689.0,1429.4,259.6,2.3,0.363,36,4,Kirk Cousins,4,90.7,Chase Young,1,-34.4,C+,23
SFO,118,1769.0,1542.4,226.6,1.92,0.407,32,16,Fred Warner,3,68.7,Trey Lance,1,-47.1,C+,24
MIN,132,1773.0,1536.4,236.6,1.79,0.348,46,12,Stefon Diggs,5,80.4,Lewis Cine,1,-18.7,C+,25
ARI,96,1405.0,1270.0,135.0,1.41,0.375,37,12,Patrick Peterson,1,60.6,Josh Rosen,1,-28.2,C+,26
TEN,100,1480.0,1347.9,132.1,1.32,0.33,28,7,Derrick Henry,2,68.9,Caleb Farley,1,-20.1,C,27
OAK,105,1479.0,1359.0,120.0,1.14,0.41,28,4,Derek Carr,2,75.2,Clelin Ferrell,1,-22.8,C,28
NYG,97,1433.0,1380.8,52.2,0.54,0.32,21,4,Linval Joseph,2,54.0,Evan Neal,1,-25.6,C-,29
CLE,114,1690.0,1680.9,9.1,0.08,0.342,35,8,Mitchell Schwartz,2,57.4,Trent Richardson,1,-36.1,D,30
JAX,98,1529.0,1591.4,-62.4,-0.64,0.367,20,4,Jalen Ramsey,1,41.6,Travon Walker,1,-60.0,F,31
NYJ,97,1335.0,1424.5,-89.5,-0.92,0.351,21,5,Demario Davis,3,91.3,Zach Wilson,1,-50.4,F,32
